date,code,open,high,low,close,volume,amount,adjustflag
2015-07-08,sz.000001,10.6942154200,10.8413480000,10.2140985800,10.2140985800,499669696,6762103296.0000,2
2015-07-09,sz.000001,10.2140985800,11.1820760800,9.3777660200,11.0426873200,434435536,5904698624.0000,2
2015-07-10,sz.000001,10.7251907000,11.8945075200,10.5393390200,11.5073165200,465098784,6891581184.0000,2
2015-07-13,sz.000001,11.1511008000,11.5305479800,10.9342738400,11.1820760800,326819600,4737400576.0000,2
2015-07-14,sz.000001,10.9962244000,11.1356131600,10.4619008200,10.7406783400,258022955,3608580672.0000,2
2015-07-15,sz.000001,10.5780581200,10.8103727200,10.3767188000,10.5161075600,162642318,2225696912.0000,2
2015-07-16,sz.000001,10.5315952000,10.6554963200,10.3922064400,10.5315952000,138893985,1884221632.0000,2
2015-07-17,sz.000001,10.5780581200,10.7948850800,10.4773884600,10.7019592400,168063766,2304999344.0000,2
2015-07-20,sz.000001,10.6864716000,10.6864716000,10.4773884600,10.5315952000,135868308,1852316448.0000,2
2015-07-21,sz.000001,10.4619008200,10.5625704800,10.3612311600,10.5083637400,113164352,1529148272.0000,2
2015-07-22,sz.000001,10.4464131800,10.4851322800,10.3302558800,10.4696446400,113809062,1528783824.0000,2
2015-07-23,sz.000001,10.4231817200,10.6477525000,10.3844626200,10.5858019400,148369614,2022035344.0000,2
2015-07-24,sz.000001,10.5935457600,10.6090334000,10.3147682400,10.3612311600,133930997,1815658960.0000,2
2015-07-27,sz.000001,10.2605615000,10.3147682400,9.3235592800,9.6333120800,178785918,2289450160.0000,2
2015-07-28,sz.000001,9.4397165800,9.8811143200,9.4087413000,9.7727008400,201120081,2509971536.0000,2
2015-07-29,sz.000001,9.7572132000,9.7727008400,9.5868491600,9.7572132000,97168292,1210759104.0000,2
2015-07-30,sz.000001,9.7649570200,9.7881884800,9.4706918600,9.4939233200,77027894,962337456.0000,2
2015-07-31,sz.000001,9.4164851200,9.6178244400,9.3080716400,9.5713615200,120274687,1472860288.0000,2
2015-08-03,sz.000001,9.4474604000,9.9508087000,9.4087413000,9.9275772400,140512271,1757739728.0000,2
2015-08-04,sz.000001,9.8888581400,10.0592221800,9.7494693800,9.9585525200,77493758,988843504.0000,2
2015-08-05,sz.000001,9.9120896000,10.0282469000,9.7339817400,9.7494693800,55180237,704539360.0000,2
2015-08-06,sz.000001,9.6797750000,9.8578828600,9.6255682600,9.7030064600,45021845,567208512.0000,2
2015-08-07,sz.000001,9.7649570200,9.8501390400,9.7107502800,9.7649570200,62201030,785501392.0000,2
2015-08-10,sz.000001,9.8036761200,10.0592221800,9.7184941000,10.0050154400,105311195,1346325152.0000,2
2015-08-11,sz.000001,9.9972716200,10.0282469000,9.9043457800,9.9430648800,82849336,1065323952.0000,2
2015-08-12,sz.000001,9.8269075800,9.8888581400,9.7262379200,9.7339817400,68682207,869580816.0000,2
2015-08-13,sz.000001,9.6875188200,9.8114199400,9.6178244400,9.7339817400,60634441,760265712.0000,2
2015-08-14,sz.000001,9.8269075800,9.8733705000,9.7417255600,9.7881884800,82378929,1043762736.0000,2
2015-08-17,sz.000001,9.7649570200,9.8269075800,9.6410559000,9.7107502800,67964257,852588992.0000,2
2015-08-18,sz.000001,9.6797750000,9.8656266800,9.2538649000,9.5016671400,117632441,1459671040.0000,2
2015-08-19,sz.000001,9.3700222000,9.4706918600,9.2151458000,9.4706918600,95889423,1157078544.0000,2
2015-08-20,sz.000001,9.4242289400,9.4242289400,9.2151458000,9.3313031000,67763439,815652768.0000,2
2015-08-21,sz.000001,9.2151458000,9.2848401800,8.8744177200,8.9053930000,93336784,1095668272.0000,2
2015-08-24,sz.000001,8.5956402000,8.6498469400,8.0148537000,8.0148537000,151802968,1601529040.0000,2
2015-08-25,sz.000001,7.6276627000,8.0148537000,7.2172402400,7.3256537200,219233375,2122788592.0000,2
2015-08-26,sz.000001,7.4340672000,7.9219278600,7.2017526000,7.6741256200,249191959,2460482144.0000,2
2015-08-27,sz.000001,7.8677211200,8.4407638000,7.6354065200,8.3633256000,184923565,1912163264.0000,2
2015-08-28,sz.000001,8.4330199800,8.5878963800,8.1697301000,8.3865570600,160802969,1728745632.0000,2
2015-08-31,sz.000001,8.2936312200,8.5724087400,8.1155233600,8.5724087400,146429725,1578261440.0000,2
2015-09-01,sz.000001,8.4407638000,8.9905750200,8.2161930200,8.9595997400,265766135,3003860704.0000,2
2015-09-02,sz.000001,8.6575907600,9.2925840000,8.5646649200,9.1686828800,281574672,3273803296.0000,2
2015-09-07,sz.000001,8.9441121000,8.9518559200,8.4330199800,8.4330199800,137611064,1544055072.0000,2
2015-09-08,sz.000001,8.4252761600,8.6343593000,8.2007053800,8.5182020000,74729245,815241856.0000,2
2015-09-09,sz.000001,8.5414334600,8.6653345800,8.4252761600,8.5956402000,85107389,940582960.0000,2
2015-09-10,sz.000001,8.5182020000,8.6575907600,8.4717390800,8.5569211000,46520563,514578384.0000,2
2015-09-11,sz.000001,8.5336896400,8.6111278400,8.4252761600,8.4872267200,42645078,469297504.0000,2
2015-09-14,sz.000001,8.5104581800,8.5182020000,8.0922919000,8.4175323400,75645273,813927120.0000,2
2015-09-15,sz.000001,8.2781435800,8.4020447000,8.1310110000,8.1852177400,54283900,579042240.0000,2
2015-09-16,sz.000001,8.2007053800,8.5801525600,8.1464986400,8.4407638000,56924377,612767024.0000,2
2015-09-17,sz.000001,8.4020447000,8.6266154800,8.3400941400,8.3400941400,62079854,682338192.0000,2
2015-09-18,sz.000001,8.3943008800,8.4872267200,8.3091188600,8.3710694200,31827282,345063776.0000,2
2015-09-21,sz.000001,8.2858874000,8.4330199800,8.2471683000,8.3788132400,38611111,416851088.0000,2
2015-09-22,sz.000001,8.3865570600,8.5646649200,8.3788132400,8.4872267200,49295560,541007296.0000,2
2015-09-23,sz.000001,8.4097885200,8.4485076200,8.2703997600,8.2858874000,37115084,399583552.0000,2
2015-09-24,sz.000001,8.3323503200,8.3710694200,8.2626559400,8.2936312200,25863255,277274192.0000,2
2015-09-25,sz.000001,8.2781435800,8.2936312200,8.0922919000,8.1697301000,44642060,471537648.0000,2
2015-09-28,sz.000001,8.1774739200,8.2007053800,8.0768042600,8.1542424600,19908727,209186171.0000,2
2015-09-29,sz.000001,8.0922919000,8.1774739200,7.9916222400,8.0380851600,33360356,347612304.0000,2
2015-09-30,sz.000001,8.0535728000,8.2007053800,8.0458289800,8.1232671800,36465973,383230176.0000,2
2015-10-08,sz.000001,8.4020447000,8.4330199800,8.2858874000,8.2858874000,49407085,533806128.0000,2
2015-10-09,sz.000001,8.3246065000,8.4794829000,8.3013750400,8.4407638000,47461206,516310496.0000,2
